ลำดับ	เลขทะเบียนเดิม	FID	ชื่อโรงงาน	ประกอบกิจการ	เลขที่	หมู่	ซอย	ถนน	ตำบล	อำเภอ	จังหวัด	ไปรษณีย์	โทรศัพท์	เงินทุน	คนงาน	แรงม้า
78	น.72-1/2552-นอน.	8.21E+13	บริษัท หยวนเด้น อินดัสเตรียล จำกัด	ผลิตชิ้นส่วนโลหะสำหรับผลิตภัณฑ์อิเล็กทรอนิกส์ เครื่องใช้ไฟฟ้า และผลิตแม่พิมพ์	700/638	7			ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	038-047038-41	0	0	1651.5
79	น.74(2)-1/2552-ญอน.	7.21E+13	บริษัท บันโด เดนเซน (ประเทศไทย) จำกัด	ผลิตสายเคเบิลแบน และสายไฟชนิดต่างๆ	700/501 - 502	7	-	-	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	38454430	108500000	73	0
80	น.100(5)-1/2555-นอน.	8.21E+13	บริษัท ไดรลูบ (ไทยแลนด์) จำกัด	เกี่ยวกับกานชุบเคลือบผิวชิ้นงานประเภทโลหะและอโลหะ	700/352	6		บางนา-ตราดกิโลเมตรที่57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		223709237	167	670.32
81	น.64(13)-1/2557-ญอน.	7.21E+13	บริษัท โตโยต้า ทูโช เอ็ม แอนด์ อี (ประเทศไทย) จำกัด	"ผลิตประกอบชิ้นส่วนเครื่องจักร,ซื้อมาขายไปเครื่องจักรชิ้นส่วนเครื่องจักรชิ้นส่วนโลหะและงานบริการทางวิศวกรรม"	700/546	6		บางนา-ตราดกิโลเมตรที่57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		17696399	56	61.6
82	น.77(2)-6/2553-นอน.	8.21E+13	บริษัท ซันจิริน อินดัสตรี (ประเทศไทย) จำกัด	ผลิตชิ้นส่วนอุปกรณ์และอะไหล่รวมทั้งท่อและสายยางที่ใช้สำหรับยานพาหนะตลอดจนส่วนประกอบอื่นๆที่เกี่ยวข้อง	700/347	6		บางนา-ตราดกิโลเมตรที่57	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000		627999998	475	2181.82
83	จ3-58(1)-4/46ชบ	2.02E+13	บริษัท น่ำเฮงคอนกรีต (1992) จำกัด	ผลิตคอนกรีตผสมเสร็จ	75/4	1		เลี่ยงมอเตอร์เวอล์	ดอนหัวฬ่อ	เมืองชลบุรี	ชลบุรี	20000	0 2295 0901	10520000	10	214
84	จ3-64(12)-15/47ชบ	2.02E+13	นายกมลศักดิ์ สรลักษณ์ลิขิต	ตัด พับ เจาะ เชื่อม โลหะทั่วไป ได้ปีละ 180 ตัน	19/21	5			อ่างศิลา	เมืองชลบุรี	ชลบุรี	20000	081-7826006	11000000	15	130.85
85	จ3-20(1)-2/60ชบ	2.02E+13	บริษัท อาภานนท์ เบฟเวอเรจ จำกัด	ผลิตน้ำดื่มและน้ำแร่	1-ก.ย.		ธารนที 2	ธารนที	บ้านบึง	บ้านบึง	ชลบุรี	20170	082-5795847	61000000	32	573.5
86	จ3-52(4)-12/59ชบ	2.02E+13	บริษัท ซี เอส รับเบอร์ อินดัสทรี่ จำกัด	ผลิตผลิตภัณฑ์ที่ทำจากยาง เช่น คอมพาวด์	199	3		พานทอง-บ้านบึง	บ้านบึง	บ้านบึง	ชลบุรี	20170	038-443985-6 038-444090	255000000	15	2080
87	จ3-52(4)-15/60ชบ	2.02E+13	บริษัท ซีเอส มิตซูฟูกุ อิลาสโตเมอร์ จำกัด	ผลิต ผลิตภัณฑ์ที่ทำจากยาง เช่น ยางคอมพาวด์	199/15	3			บ้านบึง	บ้านบึง	ชลบุรี	20170		63000000	4	335
88	จ3-53(1)-64/48ชบ	2.02E+13	บริษัท ห๋อง ลี่ จำกัด	ประกอบกิจการผลิตและจำหน่ายชิ้นงานพลาสติก หรือพลาสติกขึ้นรูป	114			บ้านบึง-บ้านค่าย	บ้านบึง	บ้านบึง	ชลบุรี	20170	038-446-104-5	4500000	7	235.05
89	จ3-63(2)-10/52ชบ	2.02E+13	บริษัท เฉิง ฟา จำกัด	ทำโครงสร้างเหล็ก	19-ม.ค.	5			บ้านบึง	บ้านบึง	ชลบุรี	20170	038-161915	12024000	7	175.04
90	3-105-41/56ชบ	1.02E+13	ห้างหุ้นส่วนจำกัด อัญชลินทร์ 888	คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ได้แก่ กระดาษ พลาสติก ไม้และโลหะ	99/19	3	-	-	บ้านบึง	บ้านบึง	ชลบุรี	20170		4150000	53	20
91	3-64(13)-2/34ชบ	1.02E+13	นำเจริญการช่าง	กลึงและเชื่อมโลหะ	591/11	1		ราษฎรสันติ	บ้านบึง	บ้านบึง	ชลบุรี	20170	443428	880000	2	93.45
92	3-33-1/35ชบ	1.02E+13	บริษัท ซีพีแอล กรุ๊ป จำกัด (มหาชน)	ทำรองเท้าหนัง และรองเท้านิรภัย	199/8	3		พานทอง-บ้านบึง	บ้านบึง	บ้านบึง	ชลบุรี	20170	038-443988	21000000	115	796.64
93	จ3-43(1)-1/42ชบ	2.02E+13	บริษัท สุรชัยฟาร์ม จำกัด	ผลิตปุ๋ยมุลไก่อัดเม็ดโดยไม่ใช้กระบวนการทางเคมี	35/8	3	-	วิฑูรดำริ	บ้านบึง	บ้านบึง	ชลบุรี	20170	(038) 443-189	11900000	15	478.5
94	จ3-77(2)-6/62ชบ	2.02E+13	บริษัท ทีพีแอล 168 จำกัด	ผลิตชิ้นส่วนรถยนต์	94/5	1			บ้านบึง	บ้านบึง	ชลบุรี	20170		4100000	5	190
95	จ3-52(4)-27/61ชบ	2.02E+13	บริษัท ซี เอส รับเบอร์ อินดัสทรี่ จำกัด	"ผลิต ผลิตภัณฑ์ที่ทำจากยาง เช่น พื้นรองเท้า,แผ่นชิ้นงาน"	199/23	3		พานทอง-บ้านบึง	บ้านบึง	บ้านบึง	ชลบุรี	20170		48000000	15	291
96	จ3-64(13)-31/63ชบ	2.02E+13	บริษัท เค.ที.เค. พัฒนาธุรกิจ จำกัด	กลึง เจาะ คว้าน กัด ไส เจียน เชื่อมโลหะ ดัดแปลง ซ่อมแซมเครื่องจักรและอุปกรณ์ในการกสิกรรม	99/5	4			บ้านบึง	บ้านบึง	ชลบุรี	20170		27000000	25	180
97	3-14-6/64ชบ	1.02E+13	บริษัท บ้านบึงน้ำแข็งซอง จำกัด	ทำน้ำแข็งก้อนเล็ก	โฉนดที่ดินเลขที่ 435	5			บ้านบึง	บ้านบึง	ชลบุรี	20170	081 5903006	49000000	24	928
98	3-105-80/64ชบ	1.02E+13	บริษัท โฟร์ซันส์ อีสเทิร์น สตีล จำกัด	คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย	121/14	3			บ้านบึง	บ้านบึง	ชลบุรี	20170	0-3844-5244	239000000	33	1169
99	จ3-67(7)-4/60ชบ	2.02E+13	ห้างหุ้นส่วนจำกัด เอ็ม เอส เอ โมลด์	ผลิตแม่พิมพ์โลหะ ปั๊มโลหะ	825/17	9			คลองกิ่ว	บ้านบึง	ชลบุรี	20220	038-158448	24340000	16	137.57
100	จ3-3(2)-347/57ชบ	2.02E+13	นายนันทภัทร โอเจริญ	ขุดดิน ร่อน คัดขนาดทราย	โฉนดเลขที่ 43925	4			คลองกิ่ว	บ้านบึง	ชลบุรี	20220		1900000	4	437
101	3-88(1)-117/59ชบ	4.02E+13	บริษัท แอสต้า พาวเวอร์ จำกัด (ผู้สนับสนุน สหกรณ์โคนมบ้านบึง จำกัด)	ผลิตพลังงานไฟฟ้าด้วยพลังงานแสงอาทิตย์ ขนาดกำลังการผลิต 4.996 เมกะวัตต์	โฉนดที่ดินเลขที่ 24390	9			คลองกิ่ว	บ้านบึง	ชลบุรี	20220		325000000	14	12729.86
102	จ3-53(5)-44/59ชบ	2.02E+13	บริษัท คิงส์ เอ็นเนอร์จี แอนด์ เวซท์ โซลูชั่น จำกัด	หลอมเม็ดพลาสติก ล้าง บด หรือย่อยพลาสติก ผลิต COMPOUND PLASTIC ผลิตเม็ดพลาสติกรีไซเคิล	732/3	1			คลองกิ่ว	บ้านบึง	ชลบุรี	20220		101290000	36	454
